Regione,Anno,totale incidenti,autovettura privata,autov. priv. con rimorchio, autovettura pubblica,autov. soccorso o polizia,autobus o filobus servizio urbano,autobus servizio extra-urbano,tram,autocarro,autotreno con rimorchio,autosnodato autoarticolato,veicoli speciali,trattore stradale o motrice,trattore agricolo,velocipede,ciclomotore,motociclo a solo,motociclo con passeggero,motocarro o motofurgone,veicolo trazione animale o braccia,veicolo ignoto datosi alla fuga,quadriciclo leggero,altri veicoli,totale veicoli coinvolti,
Emilia Romagna,2016,17406,21500,5,72,50,120,87,1,1913,56,239,150,137,45,3293,1140,2661,267,11,2,232,41,0,32022,
Italia Settentrionale,2016,90257,108690,49,516,413,854,521,139,9309,203,933,649,792,238,12663,5449,18680,2073,70,7,988,222,0,163458,
Toscana,2016,15863,19374,22,62,78,144,64,4,1506,29,103,87,132,27,1843,1901,3972,440,64,2,104,59,0,30017,
Umbria,2016,2285,3233,1,5,12,8,16,0,243,6,20,13,15,4,133,180,283,26,5,0,21,4,0,4228,
Marche,2016,5333,6833,1,6,20,17,29,0,527,10,55,39,33,8,463,437,774,92,5,2,34,14,0,9399,
Lazio,2016,20227,25540,13,293,160,112,215,29,1668,24,126,142,87,17,566,679,6332,703,11,1,180,135,0,37033,
Italia Centrale,2016,43708,54980,37,366,270,281,324,33,3944,69,304,281,267,56,3005,3197,11361,1261,85,5,339,212,0,80677,
Abruzzo,2016,3217,4315,0,6,10,20,12,0,308,7,40,27,21,11,174,163,384,56,6,1,12,3,0,5576,
Molise,2016,461,671,1,1,2,3,6,0,52,3,6,3,1,4,9,19,45,4,1,0,2,1,0,834,
Campania,2016,9111,12701,28,41,63,58,55,0,686,22,59,42,65,21,328,552,2397,631,55,1,134,35,0,17974,
Puglia,2016,9524,14472,11,13,48,63,51,0,690,19,55,43,50,45,517,582,1172,345,67,1,46,28,0,18318,
Basilicata,2016,936,1238,0,0,5,5,14,0,94,4,5,10,10,5,23,37,80,15,5,0,8,7,0,1565,
Calabria,2016,2733,4172,1,2,13,14,9,0,260,4,21,12,12,8,77,102,314,59,20,0,9,7,0,5116,
